MissingRate,Repeat,Seed,Mean,Median,ClinDiff-Lite,ClinDiff-Gated,Mean Liver Avg,ClinDiff-Lite Liver Avg,ClinDiff-Gated Liver Avg,Grouped Usage Rate,Masked Observed Cells,Masked Headline Cells,Masked Liver Cells
40%,19,2444,176.1613524315799,189.8820906009916,174.97600439224934,172.11924838812533,183.42401211802823,178.81744231232108,176.49334949449369,0.47507456327226244,4951,4077,2300
40%,20,2445,166.68268563006376,181.12217105622673,164.89358869802302,159.32294207167485,177.8134982183052,171.0633162478342,166.45729198983634,0.4933958244567533,4822,3965,2224
40%,21,2446,192.6211680107541,206.76135101437117,191.3421905858468,188.91483988479544,183.8807570075704,176.3959159344848,174.53173367432737,0.4951001278227524,4834,3972,2267
40%,22,2447,169.31991949798362,183.9606364119121,167.43389347056623,163.894240458954,178.5291049009303,171.69706817379713,168.83568308106018,0.4976565828717512,4822,3949,2244
40%,23,2448,176.9229227000363,193.66056876651453,175.45653516048915,172.99472599808055,175.323717878504,168.78555645220055,166.70069018655263,0.49595227950575205,4880,3986,2256
40%,24,2449,204.10697941755393,219.4043526002529,203.07936574830984,201.02252061440134,196.95418922247418,191.23779726237618,189.85223725869363,0.47464848743076266,4877,4069,2320
40%,25,2450,189.44462365351671,202.6703589108114,194.4478547791635,193.94389081445684,184.00841248708375,181.700903741253,181.0416483703584,0.4929697486152535,4766,3934,2275
40%,26,2451,179.69216187241173,195.36980294538722,178.3260655824139,177.041251421071,180.92334885651846,175.29568595716395,174.17165196696683,0.48572645930975716,4931,4059,2323
40%,27,2452,172.43174903369038,186.4659209573098,172.7000346927007,173.06338264623628,169.84542468359697,165.15568101976078,165.06443930447625,0.49424797613975285,4944,4020,2268
40%,28,2453,195.7207470886018,209.58662588916454,194.38350427908594,189.06568562228998,188.4565202825988,180.76661617688987,176.32681237444118,0.47251810822326373,4968,4082,2318
40%,29,2454,177.692953226641,192.15073578300323,175.9754181023346,174.33469861597453,172.0729005353712,163.40577747665543,161.93966215485037,0.48913506604175544,4883,4042,2301
40%,30,2455,181.2397580930225,194.80856890398442,179.6219520083771,178.09829966134052,176.3743559449405,168.0600079873272,166.65063669801717,0.47933532168726034,4875,4034,2311
40%,31,2456,187.88856710777605,204.41405606006373,186.66134487400663,185.51297506403213,183.84491857611135,178.18040467593062,177.35889772570127,0.4933958244567533,4827,3966,2282
40%,32,2457,156.46759367178032,169.71992775222802,154.745730721172,151.53961625405188,161.5241783026268,154.2258270959118,151.37122023116987,0.4929697486152535,4888,3991,2236
40%,33,2458,188.32854403442462,204.97420137443154,185.83273658209933,185.40865367841977,187.1761936766154,178.49874692940352,177.94894960879483,0.4806135492117597,4955,4081,2313
40%,34,2459,202.28923766685378,217.49981540050928,201.3090944388367,202.01131801775156,196.87281806305938,190.32660624409922,190.95929073208183,0.49808265871325097,4807,3963,2233
40%,35,2460,184.43788528127513,202.34273961247985,185.18367615043346,187.89940718137245,180.16743658440726,174.4565285792003,176.3985094966787,0.48572645930975716,4822,3942,2287
40%,36,2461,171.96030135912238,186.37512974122876,170.28735467301718,170.75510923055234,171.48030765758176,165.5804726733444,165.749999542054,0.47848317000426077,4856,4010,2342
40%,37,2462,195.22505922219221,212.05975060357846,199.52162857926984,200.02080705820916,191.31050414352706,189.02214108113517,189.25782352567288,0.49808265871325097,4821,3969,2246
40%,38,2463,184.30208884697632,199.4694197119997,182.25398246995013,182.58250087044323,182.7509324307496,172.5354246654109,172.77039879622566,0.4827439284192586,5013,4134,2323
40%,39,2464,184.03053229175984,197.34492232765297,182.86755137658932,178.81032424865728,181.98634988603385,176.48303654911055,173.35894753589605,0.4929697486152535,4863,3993,2277
40%,40,2465,212.47268857598266,228.18358418238623,211.34081419838648,211.6947652126692,208.10177351781192,202.32687935764167,202.3937643246744,0.4904132935662548,4876,3967,2223
40%,41,2466,194.97393112783212,211.06256601706983,193.42946009696533,190.32029023158427,191.14438315945426,183.80020811052023,181.06707836310832,0.4682573498082659,4993,4089,2362
40%,42,2467,181.1179395893712,194.97780973142505,179.60026777444654,176.18398325415745,183.84742840810188,177.50328236993934,174.9043204206836,0.49211759693225393,4952,4045,2287
40%,43,2468,175.57127883095382,192.28836291541762,173.98886031427796,172.7720828356309,184.7449236438924,179.55836380108528,178.4483338404526,0.48487430762675754,4929,4050,2332
40%,44,2469,167.67704721237655,182.6491765866844,166.21730797129797,165.0370476381804,168.9384769651841,162.77408545642146,161.761558905023,0.48444823178525775,4906,4016,2272
40%,45,2470,173.20812152283258,189.49225690038207,183.14963973870394,183.8640592071599,175.20437640138007,179.26668351829196,179.64000463689538,0.4929697486152535,4873,3992,2288
40%,46,2471,173.20444703292566,190.15901064641258,171.7363067854706,169.01647839228124,179.68497608962954,174.64197893578307,172.30994420279356,0.478057094162761,4885,4007,2315
