MissingRate,Repeat,Seed,Mean Overall,ClinDiff-Lite Overall,Grouped Overall,Mean Liver Avg,ClinDiff-Lite Liver Avg,Grouped Liver Avg
60%,2,4641,314.96552325243874,314.67304444182935,316.06812879831955,195.01960692336675,192.20782087585553,194.32561367713058
60%,3,4642,290.30580531097866,289.88883679857634,294.13538644548805,186.30184282004086,183.11790614685177,189.4200840830937
60%,4,4643,309.4776374004483,309.168127096282,315.6537275135528,184.0731121220962,180.91634592056684,190.75328181885354
60%,5,4644,305.3966624591093,311.77451298649174,310.21383135631663,171.90427030732062,168.6962586565118,177.37416327963948
60%,6,4645,313.3339307626193,316.39503714529565,316.3115573703813,179.73395424570876,182.26172130644977,182.0561664545256
60%,7,4646,302.4731484095157,302.1194631227512,310.2592991172496,170.96345493093213,167.66158788496247,181.28433241790285
60%,8,4647,310.48709897165446,309.99001910495883,313.50069721864503,172.78856759623443,168.57898105275993,175.00743201636251
60%,9,4648,289.1540140395777,289.1540140395777,292.161269694092,181.99485645681213,181.99485645681213,184.51306462856863
60%,10,4649,325.8197992009194,325.42806995028127,330.20318229631624,195.11844179332456,191.7908463371375,199.04719859846873
60%,11,4650,300.01124674081456,299.9128823279625,304.37978542760754,174.07258000375487,172.68803585181877,178.08696036781797
60%,12,4651,313.7361351041562,313.3626649439019,318.0452236412967,192.03296439683731,189.01514396457353,196.34684176246483
60%,13,4652,304.0421390086752,303.7420567313074,309.2157901563121,184.46467696753407,181.9589045783396,190.556160449658
60%,14,4653,312.93596388741855,312.51139107566127,319.7281486528774,182.67154195098206,179.22737842665947,190.38523469505063
60%,15,4654,293.7102503414125,293.44884371413076,296.61369344131725,175.65561339034787,173.14204339948762,178.16697611548247
60%,16,4655,296.7298596088299,296.46744906160836,301.46102964224303,193.96169008083578,191.5796188647802,199.17975027368698
60%,17,4656,297.8949538625135,297.7341510127289,302.051297187651,180.29612571049404,178.58244671518275,185.27090828246457
60%,18,4657,292.88991104216916,292.75594734073314,296.80305805873627,167.1946532705429,166.1772521618942,171.0415486058591
60%,19,4658,296.1578502753343,296.07559782946157,299.48900019580327,170.0487789483441,168.9898828942274,173.26218515942833
60%,20,4659,317.7642710260314,317.2426087443281,319.0015244804023,195.6267676659896,191.6380675594714,194.0213645525716
